source_version,category,source_file,source_reference,section_id,heading_level,section_path,heading,classification,canonical_skill_ids,lesson_ids,review_status,notes
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Generics,guidedtour-guidedtour-xhtml.010.generics,2,A Swift Tour > Generics,Generics,teachable,swift.generics.function,swift.generics.function,reviewed-implemented,Mapped to existing canonical lessons; no duplicate tour lesson.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/LanguageGuidePart.xhtml,LanguageGuide/LanguageGuidePart.xhtml#language-guide,languageguide-languageguidepart-xhtml.001.language-guide,1,Language Guide,Language Guide,context,,,reviewed-no-lesson,Reviewed as the Language Guide part divider; no distinct interaction required.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#the-basics,languageguide-thebasics-xhtml.001.the-basics,1,The Basics,The Basics,overview,,,reviewed-no-lesson,Chapter introduction previews foundational types; its teachable rules are mapped to the child sections.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Constants-and-Variables,languageguide-thebasics-xhtml.002.constants-and-variables,2,The Basics > Constants and Variables,Constants and Variables,teaches,swift.bindings.constants,swift.bindings.constants,reviewed-implemented,Introduced by the first code-choice lesson.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Declaring-Constants-and-Variables,languageguide-thebasics-xhtml.003.declaring-constants-and-variables,3,The Basics > Constants and Variables > Declaring Constants and Variables,Declaring Constants and Variables,teaches,swift.bindings.constants,swift.bindings.constants,reviewed-implemented,Source detail for choosing let when a value does not change.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Type-Annotations,languageguide-thebasics-xhtml.004.type-annotations,3,The Basics > Constants and Variables > Type Annotations,Type Annotations,teaches,swift.bindings.type-annotations,swift.bindings.type-annotations,reviewed-implemented,Introduced by the second sequential code-choice lesson.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Naming-Constants-and-Variables,languageguide-thebasics-xhtml.005.naming-constants-and-variables,3,The Basics > Constants and Variables > Naming Constants and Variables,Naming Constants and Variables,teaches,swift.bindings.identifier-naming,swift.bindings.identifier-naming,reviewed-implemented,Introduced by the third sequential code-choice lesson.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Printing-Constants-and-Variables,languageguide-thebasics-xhtml.006.printing-constants-and-variables,3,The Basics > Constants and Variables > Printing Constants and Variables,Printing Constants and Variables,teaches,swift.output.string-interpolation,swift.output.string-interpolation,reviewed-implemented,Introduced by the fourth sequential code-choice lesson.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Comments,languageguide-thebasics-xhtml.007.comments,2,The Basics > Comments,Comments,teaches,swift.comments.single-line|swift.comments.multiline|swift.comments.nested-multiline,swift.comments.single-line|swift.comments.multiline|swift.comments.nested-multiline,reviewed-implemented,Three ordered lessons cover single-line multiline and nested multiline comments.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Semicolons,languageguide-thebasics-xhtml.008.semicolons,2,The Basics > Semicolons,Semicolons,teaches,swift.statements.semicolon,swift.statements.semicolon,reviewed-implemented,Eighth ordered lesson covers separating multiple statements on one line.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Integers,languageguide-thebasics-xhtml.009.integers,2,The Basics > Integers,Integers,teaches,swift.numbers.integer-exactness|swift.numbers.fixed-point,swift.numbers.integer-exactness|swift.numbers.fixed-point,reviewed-implemented,Lessons distinguish exact whole-number arithmetic and fixed-point integer storage.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Integer-Bounds,languageguide-thebasics-xhtml.010.integer-bounds,3,The Basics > Integers > Integer Bounds,Integer Bounds,teaches,swift.numbers.integer-bounds,swift.numbers.integer-bounds,reviewed-implemented,Lesson uses the min and max type-property rule.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Int,languageguide-thebasics-xhtml.011.int,3,The Basics > Integers > Int,Int,teaches,swift.numbers.int-default,swift.numbers.int-default,reviewed-implemented,Lesson selects Int when no exact width is required.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#UInt,languageguide-thebasics-xhtml.012.uint,3,The Basics > Integers > UInt,UInt,teaches,swift.numbers.uint-selection,swift.numbers.uint-selection,reviewed-implemented,Lesson limits UInt selection to an explicit native-width unsigned requirement.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Floating-Point-Numbers,languageguide-thebasics-xhtml.013.floating-point-numbers,2,The Basics > Floating-Point Numbers,Floating-Point Numbers,teaches,swift.numbers.floating-point|swift.numbers.floating-point-approximation,swift.numbers.floating-point|swift.numbers.floating-point-approximation,reviewed-implemented,Lessons cover general Double selection and representable-value rounding.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Type-Safety-and-Type-Inference,languageguide-thebasics-xhtml.014.type-safety-and-type-inference,2,The Basics > Type Safety and Type Inference,Type Safety and Type Inference,teaches,swift.types.safety|swift.types.inference,swift.types.safety|swift.types.inference,reviewed-implemented,Lessons cover matching stored types and inferred floating-point type.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Numeric-Literals,languageguide-thebasics-xhtml.015.numeric-literals,2,The Basics > Numeric Literals,Numeric Literals,teaches,swift.literals.integer-radix|swift.literals.exponent|swift.literals.readability,swift.literals.integer-radix|swift.literals.exponent|swift.literals.readability,reviewed-implemented,Lessons cover radix prefixes exponent notation and underscore formatting.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Numeric-Type-Conversion,languageguide-thebasics-xhtml.016.numeric-type-conversion,2,The Basics > Numeric Type Conversion,Numeric Type Conversion,teaches,swift.numbers.int-default|swift.numbers.integer-conversion|swift.numbers.integer-to-floating|swift.numbers.floating-to-integer,swift.numbers.int-default|swift.numbers.integer-conversion|swift.numbers.integer-to-floating|swift.numbers.floating-to-integer,reviewed-implemented,Canonical conversion skills are introduced once and reused by child sections.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Integer-Conversion,languageguide-thebasics-xhtml.017.integer-conversion,3,The Basics > Numeric Type Conversion > Integer Conversion,Integer Conversion,teaches,swift.numbers.integer-conversion,swift.numbers.integer-conversion,reviewed-implemented,Lesson explicitly converts UInt8 to UInt16 before addition.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Integer-and-Floating-Point-Conversion,languageguide-thebasics-xhtml.018.integer-and-floating-point-conversion,3,The Basics > Numeric Type Conversion > Integer and Floating-Point Conversion,Integer and Floating-Point Conversion,teaches,swift.numbers.integer-to-floating|swift.numbers.floating-to-integer,swift.numbers.integer-to-floating|swift.numbers.floating-to-integer,reviewed-implemented,Lessons cover explicit conversion in both directions and truncation to Int.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Type-Aliases,languageguide-thebasics-xhtml.019.type-aliases,2,The Basics > Type Aliases,Type Aliases,teaches,swift.types.alias,swift.types.alias,reviewed-implemented,Lesson defines and uses a contextual alternative name for an existing type.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Booleans,languageguide-thebasics-xhtml.020.booleans,2,The Basics > Booleans,Booleans,teaches,swift.booleans.literals|swift.booleans.conditions,swift.booleans.literals|swift.booleans.conditions,reviewed-implemented,Lessons cover Bool literals and the requirement that if conditions evaluate to Bool.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Tuples,languageguide-thebasics-xhtml.021.tuples,2,The Basics > Tuples,Tuples,teaches,swift.tuples.creation|swift.tuples.decomposition|swift.tuples.ignore-elements|swift.tuples.indexed-access|swift.tuples.named-elements|swift.tuples.simple-modeling,swift.tuples.creation|swift.tuples.decomposition|swift.tuples.ignore-elements|swift.tuples.indexed-access|swift.tuples.named-elements|swift.tuples.simple-modeling,reviewed-implemented,Six lessons cover creation access decomposition ignored elements named elements and simple-model scope.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Optionals,languageguide-thebasics-xhtml.022.optionals,2,The Basics > Optionals,Optionals,teaches,swift.optionals.type|swift.optionals.nil|swift.optionals.binding|swift.optionals.nil-coalescing|swift.optionals.force-unwrapping,swift.optionals.type|swift.optionals.nil|swift.optionals.binding|swift.optionals.nil-coalescing|swift.optionals.force-unwrapping,reviewed-implemented,Canonical optional skills are introduced here and detailed by child sections without duplicate definitions.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#nil,languageguide-thebasics-xhtml.023.nil,3,The Basics > Optionals > nil,nil,teaches,swift.optionals.nil|swift.optionals.nil-check,swift.optionals.nil|swift.optionals.nil-check,reviewed-implemented,Lessons cover assigning nil and checking an optional against nil.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Optional-Binding,languageguide-thebasics-xhtml.024.optional-binding,3,The Basics > Optionals > Optional Binding,Optional Binding,teaches,swift.optionals.binding|swift.optionals.shorthand-binding|swift.optionals.multiple-binding,swift.optionals.binding|swift.optionals.shorthand-binding|swift.optionals.multiple-binding,reviewed-implemented,Lessons cover explicit shorthand and multiple optional bindings.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Providing-a-Fallback-Value,languageguide-thebasics-xhtml.025.providing-a-fallback-value,3,The Basics > Optionals > Providing a Fallback Value,Providing a Fallback Value,teaches,swift.optionals.nil-coalescing,swift.optionals.nil-coalescing,reviewed-implemented,Lesson uses the nil-coalescing operator to select an optional value or fallback.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Force-Unwrapping,languageguide-thebasics-xhtml.026.force-unwrapping,3,The Basics > Optionals > Force Unwrapping,Force Unwrapping,teaches,swift.optionals.force-unwrapping|swift.optionals.force-unwrap-risk,swift.optionals.force-unwrapping|swift.optionals.force-unwrap-risk,reviewed-implemented,Lessons cover invariant-based force unwrapping and the nil runtime failure.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Implicitly-Unwrapped-Optionals,languageguide-thebasics-xhtml.027.implicitly-unwrapped-optionals,3,The Basics > Optionals > Implicitly Unwrapped Optionals,Implicitly Unwrapped Optionals,teaches,swift.optionals.implicitly-unwrapped-declaration|swift.optionals.implicitly-unwrapped-safety,swift.optionals.implicitly-unwrapped-declaration|swift.optionals.implicitly-unwrapped-safety,reviewed-implemented,Lessons cover String! declaration and selecting String? when nil remains possible.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Memory-Safety,languageguide-thebasics-xhtml.028.memory-safety,2,The Basics > Memory Safety,Memory Safety,teaches,swift.memory.safety-guarantees|swift.memory.safety-categories|swift.memory.unsafe-responsibility,swift.memory.safety-guarantees|swift.memory.safety-categories|swift.memory.unsafe-responsibility,reviewed-implemented,Lessons cover bounds and the complete safety categories plus unsafe API responsibility.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Error-Handling,languageguide-thebasics-xhtml.029.error-handling,2,The Basics > Error Handling,Error Handling,teaches,swift.errors.throwing-declaration|swift.errors.try-catch|swift.errors.pattern-catching,swift.errors.throwing-declaration|swift.errors.try-catch|swift.errors.pattern-catching,reviewed-implemented,Lessons cover throws try do-catch propagation and matching a specific error case.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Assertions-and-Preconditions,languageguide-thebasics-xhtml.030.assertions-and-preconditions,2,The Basics > Assertions and Preconditions,Assertions and Preconditions,teaches,swift.runtime-checks.selection|swift.runtime-checks.assertion|swift.runtime-checks.precondition|swift.runtime-checks.fatal-error,swift.runtime-checks.selection|swift.runtime-checks.assertion|swift.runtime-checks.precondition|swift.runtime-checks.fatal-error,reviewed-implemented,Lessons distinguish debug assertions production preconditions and always-stopping fatal errors.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Debugging-with-Assertions,languageguide-thebasics-xhtml.031.debugging-with-assertions,3,The Basics > Assertions and Preconditions > Debugging with Assertions,Debugging with Assertions,teaches,swift.runtime-checks.assertion,swift.runtime-checks.assertion,reviewed-implemented,Lesson writes assert with a Boolean condition and diagnostic message.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Enforcing-Preconditions,languageguide-thebasics-xhtml.032.enforcing-preconditions,3,The Basics > Assertions and Preconditions > Enforcing Preconditions,Enforcing Preconditions,teaches,swift.runtime-checks.precondition|swift.runtime-checks.fatal-error,swift.runtime-checks.precondition|swift.runtime-checks.fatal-error,reviewed-implemented,Lessons enforce a Boolean precondition and mark an unimplemented path with fatalError.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#basic-operators,languageguide-basicoperators-xhtml.001.basic-operators,1,Basic Operators,Basic Operators,overview,,,reviewed-no-lesson,Chapter overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Terminology,languageguide-basicoperators-xhtml.002.terminology,2,Basic Operators > Terminology,Terminology,skill,swift.operators.terminology,swift.operators.terminology,reviewed-implemented,Unary binary and ternary operator roles.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Assignment-Operator,languageguide-basicoperators-xhtml.003.assignment-operator,2,Basic Operators > Assignment Operator,Assignment Operator,skill,swift.operators.assignment|swift.operators.assignment-no-value,swift.operators.assignment|swift.operators.assignment-no-value,reviewed-implemented,Assignment updates values and does not return a condition value.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Arithmetic-Operators,languageguide-basicoperators-xhtml.004.arithmetic-operators,2,Basic Operators > Arithmetic Operators,Arithmetic Operators,skill,swift.operators.arithmetic|swift.operators.string-concatenation,swift.operators.arithmetic|swift.operators.string-concatenation,reviewed-implemented,Numeric arithmetic and String concatenation.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Remainder-Operator,languageguide-basicoperators-xhtml.005.remainder-operator,3,Basic Operators > Arithmetic Operators > Remainder Operator,Remainder Operator,skill,swift.operators.remainder|swift.operators.negative-remainder,swift.operators.remainder|swift.operators.negative-remainder,reviewed-implemented,Positive and negative Swift remainder behavior.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Unary-Minus-Operator,languageguide-basicoperators-xhtml.006.unary-minus-operator,3,Basic Operators > Arithmetic Operators > Unary Minus Operator,Unary Minus Operator,skill,swift.operators.unary-minus,swift.operators.unary-minus,reviewed-implemented,Prefix sign toggling.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Unary-Plus-Operator,languageguide-basicoperators-xhtml.007.unary-plus-operator,3,Basic Operators > Arithmetic Operators > Unary Plus Operator,Unary Plus Operator,skill,swift.operators.unary-plus,swift.operators.unary-plus,reviewed-implemented,Prefix plus preserves the operand value.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Compound-Assignment-Operators,languageguide-basicoperators-xhtml.008.compound-assignment-operators,2,Basic Operators > Compound Assignment Operators,Compound Assignment Operators,skill,swift.operators.compound-assignment,swift.operators.compound-assignment,reviewed-implemented,Addition and assignment combined without a returned value.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Comparison-Operators,languageguide-basicoperators-xhtml.009.comparison-operators,2,Basic Operators > Comparison Operators,Comparison Operators,skill,swift.comparisons.values|swift.comparisons.tuple-order|swift.comparisons.tuple-elements,swift.comparisons.values|swift.comparisons.tuple-order|swift.comparisons.tuple-elements,reviewed-implemented,Value comparisons and left-to-right tuple comparison constraints.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Ternary-Conditional-Operator,languageguide-basicoperators-xhtml.010.ternary-conditional-operator,2,Basic Operators > Ternary Conditional Operator,Ternary Conditional Operator,skill,swift.conditionals.ternary,swift.conditionals.ternary,reviewed-implemented,Three-part conditional expression.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Nil-Coalescing-Operator,languageguide-basicoperators-xhtml.011.nil-coalescing-operator,2,Basic Operators > Nil-Coalescing Operator,Nil-Coalescing Operator,skill,swift.optionals.nil-coalescing|swift.optionals.nil-coalescing-short-circuit,swift.optionals.nil-coalescing|swift.optionals.nil-coalescing-short-circuit,reviewed-implemented,Reuses fallback skill and adds lazy fallback evaluation.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Range-Operators,languageguide-basicoperators-xhtml.012.range-operators,2,Basic Operators > Range Operators,Range Operators,overview,,,reviewed-no-lesson,Range family overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Closed-Range-Operator,languageguide-basicoperators-xhtml.013.closed-range-operator,3,Basic Operators > Range Operators > Closed Range Operator,Closed Range Operator,skill,swift.ranges.closed,swift.ranges.closed,reviewed-implemented,Inclusive lower and upper bounds.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Half-Open-Range-Operator,languageguide-basicoperators-xhtml.014.half-open-range-operator,3,Basic Operators > Range Operators > Half-Open Range Operator,Half-Open Range Operator,skill,swift.ranges.half-open,swift.ranges.half-open,reviewed-implemented,Inclusive lower and exclusive upper bound.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#One-Sided-Ranges,languageguide-basicoperators-xhtml.015.one-sided-ranges,3,Basic Operators > Range Operators > One-Sided Ranges,One-Sided Ranges,skill,swift.ranges.one-sided-suffix|swift.ranges.one-sided-prefix|swift.ranges.contains,swift.ranges.one-sided-suffix|swift.ranges.one-sided-prefix|swift.ranges.contains,reviewed-implemented,Collection suffix prefix and contains usage.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Logical-Operators,languageguide-basicoperators-xhtml.016.logical-operators,2,Basic Operators > Logical Operators,Logical Operators,overview,,,reviewed-no-lesson,Logical operator family overview; child sections carry the activities.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Logical-NOT-Operator,languageguide-basicoperators-xhtml.017.logical-not-operator,3,Basic Operators > Logical Operators > Logical NOT Operator,Logical NOT Operator,skill,swift.logic.not,swift.logic.not,reviewed-implemented,Boolean inversion.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Logical-AND-Operator,languageguide-basicoperators-xhtml.018.logical-and-operator,3,Basic Operators > Logical Operators > Logical AND Operator,Logical AND Operator,skill,swift.logic.and,swift.logic.and,reviewed-implemented,Both conditions required with short-circuit semantics described in feedback.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Logical-OR-Operator,languageguide-basicoperators-xhtml.019.logical-or-operator,3,Basic Operators > Logical Operators > Logical OR Operator,Logical OR Operator,skill,swift.logic.or,swift.logic.or,reviewed-implemented,Either condition accepted with short-circuit semantics described in feedback.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Combining-Logical-Operators,languageguide-basicoperators-xhtml.020.combining-logical-operators,3,Basic Operators > Logical Operators > Combining Logical Operators,Combining Logical Operators,skill,swift.logic.combined,swift.logic.combined,reviewed-implemented,Required pair and alternative paths.
The Swift Programming Language (Swift 6.4 beta),language-guide,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Explicit-Parentheses,languageguide-basicoperators-xhtml.021.explicit-parentheses,3,Basic Operators > Logical Operators > Explicit Parentheses,Explicit Parentheses,skill,swift.logic.parentheses,swift.logic.parentheses,reviewed-implemented,Intent-revealing Boolean grouping.
